Maruti 800 AC,2007,722.8915662650602,70000,1,0,1,0,0,0,1,0,0,1,0,0,0
Maruti Wagon R LXI Minor,2007,1626.5060240963855,50000,1,0,1,0,0,0,1,0,0,1,0,0,0
Hyundai Verna 1.6 SX,2012,7228.915662650603,100000,1,1,0,0,0,0,1,0,0,1,0,0,0
Datsun RediGO T Option,2017,3012.0481927710844,46000,1,0,1,0,0,0,1,0,0,1,0,0,0
Honda Amaze VX i-DTEC,2014,5421.686746987952,141000,1,1,0,0,0,0,1,0,0,0,1,0,0
Maruti Alto LX BSIII,2007,1686.7469879518073,125000,1,0,1,0,0,0,1,0,0,1,0,0,0
Hyundai Xcent 1.2 Kappa S,2016,6626.506024096386,25000,1,0,1,0,0,0,1,0,0,1,0,0,0
Tata Indigo Grand Petrol,2014,2891.5662650602408,60000,1,0,1,0,0,0,1,0,0,0,1,0,0
Hyundai Creta 1.6 VTVT S,2015,10240.963855421687,25000,1,0,1,0,0,0,1,0,0,1,0,0,0
Maruti Celerio Green VXI,2017,4397.590361445783,78000,1,0,0,1,0,0,1,0,0,1,0,0,0
Chevrolet Sail 1.2 Base,2015,3132.5301204819275,35000,1,0,1,0,0,0,1,0,0,1,0,0,0
Tata Indigo Grand Petrol,2014,3012.0481927710844,100000,1,0,1,0,0,0,1,0,0,1,0,0,0
Toyota Corolla Altis 1.8 VL CVT,2018,19879.518072289156,25000,1,0,1,0,0,0,0,1,0,1,0,0,0
Maruti 800 AC,2007,722.8915662650602,70000,1,0,1,0,0,0,1,0,0,1,0,0,0
Maruti Wagon R LXI Minor,2007,1626.5060240963855,50000,1,0,1,0,0,0,1,0,0,1,0,0,0
Hyundai Verna 1.6 SX,2012,7228.915662650603,100000,1,1,0,0,0,0,1,0,0,1,0,0,0
Datsun RediGO T Option,2017,3012.0481927710844,46000,1,0,1,0,0,0,1,0,0,1,0,0,0
Honda Amaze VX i-DTEC,2014,5421.686746987952,141000,1,1,0,0,0,0,1,0,0,0,1,0,0
Maruti Alto LX BSIII,2007,1686.7469879518073,125000,1,0,1,0,0,0,1,0,0,1,0,0,0
Hyundai Xcent 1.2 Kappa S,2016,6626.506024096386,25000,1,0,1,0,0,0,1,0,0,1,0,0,0
Tata Indigo Grand Petrol,2014,2891.5662650602408,60000,1,0,1,0,0,0,1,0,0,0,1,0,0
Hyundai Creta 1.6 VTVT S,2015,10240.963855421687,25000,1,0,1,0,0,0,1,0,0,1,0,0,0
Maruti Celerio Green VXI,2017,4397.590361445783,78000,1,0,0,1,0,0,1,0,0,1,0,0,0
Chevrolet Sail 1.2 Base,2015,3132.5301204819275,35000,1,0,1,0,0,0,1,0,0,1,0,0,0
Tata Indigo Grand Petrol,2014,3012.0481927710844,100000,1,0,1,0,0,0,1,0,0,1,0,0,0
